enzyme	enzyme_keff	reactions	direction
enzyme_ADA_fwd	234000.0	ADA	adn_c + h2o_c + h_c --> ins_c + nh4_c
enzyme_ADA_rev	234000.0	ADA	adn_c + h2o_c + h_c <-- ins_c + nh4_c
enzyme_ADEt_fwd	234000.0	ADEt	ade_c --> ade_e
enzyme_ADEt_rev	234000.0	ADEt	ade_c <-- ade_e
enzyme_ADK1_fwd	234000.0	ADK1	amp_c + atp_c --> 2.0 adp_c
enzyme_ADK1_rev	234000.0	ADK1	amp_c + atp_c <-- 2.0 adp_c
enzyme_ADNK1_fwd	234000.0	ADNK1	adn_c + atp_c --> adp_c + amp_c + h_c
enzyme_ADNK1_rev	234000.0	ADNK1	adn_c + atp_c <-- adp_c + amp_c + h_c
enzyme_ADNt_fwd	234000.0	ADNt	adn_c --> adn_e
enzyme_ADNt_rev	234000.0	ADNt	adn_c <-- adn_e
enzyme_ADPT_fwd	234000.0	ADPT	ade_c + prpp_c --> amp_c + ppi_c
enzyme_ADPT_rev	234000.0	ADPT	ade_c + prpp_c <-- amp_c + ppi_c
enzyme_AMPDA_fwd	234000.0	AMPDA	amp_c + h2o_c + h_c --> imp_c + nh4_c
enzyme_AMPDA_rev	234000.0	AMPDA	amp_c + h2o_c + h_c <-- imp_c + nh4_c
enzyme_BILIREDy_fwd	234000.0	BILIREDy	biliverd_c + h_c + nadph_c --> bilirub_c + nadp_c
enzyme_BILIREDy_rev	234000.0	BILIREDy	biliverd_c + h_c + nadph_c <-- bilirub_c + nadp_c
enzyme_BILRUBABCte_fwd	234000.0	BILRUBABCte	atp_c + bilirub_c + h2o_c --> adp_c + bilirub_e + h_c + pi_c
enzyme_BILRUBABCte_rev	234000.0	BILRUBABCte	atp_c + bilirub_c + h2o_c <-- adp_c + bilirub_e + h_c + pi_c
enzyme_CA2t_fwd	234000.0	CA2t	ca2_e --> ca2_c
enzyme_CA2t_rev	234000.0	CA2t	ca2_e <-- ca2_c
enzyme_CAATPS1_fwd	234000.0	CAATPS1	atp_c + ca2_c + h2o_c --> adp_c + ca2_e + h_c + pi_c
enzyme_CAATPS1_rev	234000.0	CAATPS1	atp_c + ca2_c + h2o_c <-- adp_c + ca2_e + h_c + pi_c
enzyme_CO2t_fwd	234000.0	CO2t	co2_c --> co2_e
enzyme_CO2t_rev	234000.0	CO2t	co2_c <-- co2_e
enzyme_DPGM_fwd	234000.0	DPGM	13dpg_c --> 23dpg_c + h_c
enzyme_DPGM_rev	234000.0	DPGM	13dpg_c <-- 23dpg_c + h_c
enzyme_DPGase_fwd	234000.0	DPGase	23dpg_c + h2o_c --> 3pg_c + pi_c
enzyme_DPGase_rev	234000.0	DPGase	23dpg_c + h2o_c <-- 3pg_c + pi_c
enzyme_ENO_fwd	234000.0	ENO	2pg_c --> h2o_c + pep_c
enzyme_ENO_rev	234000.0	ENO	2pg_c <-- h2o_c + pep_c
enzyme_FBA_fwd	234000.0	FBA	fdp_c --> dhap_c + g3p_c
enzyme_FBA_rev	234000.0	FBA	fdp_c <-- dhap_c + g3p_c
enzyme_FCYTOB5OXR_fwd	234000.0	FCYTOB5OXR	2.0 ficytb5_c + nadh_c --> 2.0 focytb5_c + h_c + nad_c
enzyme_FCYTOB5OXR_rev	234000.0	FCYTOB5OXR	2.0 ficytb5_c + nadh_c <-- 2.0 focytb5_c + h_c + nad_c
enzyme_FE3RD_fwd	234000.0	FE3RD	2.0 fe3_c + nadph_c --> 2.0 fe2_c + h_c + nadp_c
enzyme_FE3RD_rev	234000.0	FE3RD	2.0 fe3_c + nadph_c <-- 2.0 fe2_c + h_c + nadp_c
enzyme_G6PDH2_fwd	234000.0	G6PDH2	g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c
enzyme_G6PDH2_rev	234000.0	G6PDH2	g6p_c + nadp_c <-- 6pgl_c + h_c + nadph_c
enzyme_GAPD_fwd	234000.0	GAPD	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c
enzyme_GAPD_rev	234000.0	GAPD	g3p_c + nad_c + pi_c <-- 13dpg_c + h_c + nadh_c
enzyme_GLC_Dt_fwd	234000.0	GLC_Dt	glc__D_c --> glc__D_e
enzyme_GLC_Dt_rev	234000.0	GLC_Dt	glc__D_c <-- glc__D_e
enzyme_GND_fwd	234000.0	GND	6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c
enzyme_GND_rev	234000.0	GND	6pgc_c + nadp_c <-- co2_c + nadph_c + ru5p__D_c
enzyme_GTHOy_fwd	234000.0	GTHOy	gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
enzyme_GTHOy_rev	234000.0	GTHOy	gthox_c + h_c + nadph_c <-- 2.0 gthrd_c + nadp_c
enzyme_GTHP_fwd	234000.0	GTHP	2.0 gthrd_c + h2o2_c --> gthox_c + 2.0 h2o_c
enzyme_GTHP_rev	234000.0	GTHP	2.0 gthrd_c + h2o2_c <-- gthox_c + 2.0 h2o_c
enzyme_H2Ot_fwd	234000.0	H2Ot	h2o_c --> h2o_e
enzyme_H2Ot_rev	234000.0	H2Ot	h2o_c <-- h2o_e
enzyme_HB23DPGB_fwd	234000.0	HB23DPGB	23dpg_c + 4.0 hb_c --> hb4_23dpg_c
enzyme_HB23DPGB_rev	234000.0	HB23DPGB	23dpg_c + 4.0 hb_c <-- hb4_23dpg_c
enzyme_HBO2B1_fwd	234000.0	HBO2B1	hb_c + o2_c --> oxyhb_c
enzyme_HBO2B1_rev	234000.0	HBO2B1	hb_c + o2_c <-- oxyhb_c
enzyme_HBO2B2_fwd	234000.0	HBO2B2	hb_hco2_c + o2_c --> co2_c + h_c + oxyhb_c
enzyme_HBO2B2_rev	234000.0	HBO2B2	hb_hco2_c + o2_c <-- co2_c + h_c + oxyhb_c
enzyme_HEX1_fwd	234000.0	HEX1	atp_c + glc__D_c --> adp_c + g6p_c + h_c
enzyme_HEX1_rev	234000.0	HEX1	atp_c + glc__D_c <-- adp_c + g6p_c + h_c
enzyme_HXPRT_fwd	234000.0	HXPRT	hxan_c + prpp_c --> imp_c + ppi_c
enzyme_HXPRT_rev	234000.0	HXPRT	hxan_c + prpp_c <-- imp_c + ppi_c
enzyme_HYXNt_fwd	234000.0	HYXNt	hxan_c --> hxan_e
enzyme_HYXNt_rev	234000.0	HYXNt	hxan_c <-- hxan_e
enzyme_INSt_fwd	234000.0	INSt	ins_c --> ins_e
enzyme_INSt_rev	234000.0	INSt	ins_c <-- ins_e
enzyme_Kt1_fwd	234000.0	Kt1	k_c --> k_e
enzyme_Kt1_rev	234000.0	Kt1	k_c <-- k_e
enzyme_LDH_L_fwd	234000.0	LDH_L	h_c + nadh_c + pyr_c --> lac__L_c + nad_c
enzyme_LDH_L_rev	234000.0	LDH_L	h_c + nadh_c + pyr_c <-- lac__L_c + nad_c
enzyme_L_LACt2_fwd	234000.0	L_LACt2	h_c + lac__L_c --> h_e + lac__L_e
enzyme_L_LACt2_rev	234000.0	L_LACt2	h_c + lac__L_c <-- h_e + lac__L_e
enzyme_METHBCYTBR_fwd	234000.0	METHBCYTBR	2.0 focytb5_c + methb_c --> 2.0 ficytb5_c + hb_c
enzyme_METHBCYTBR_rev	234000.0	METHBCYTBR	2.0 focytb5_c + methb_c <-- 2.0 ficytb5_c + hb_c
enzyme_NAt_fwd	234000.0	NAt	na1_e --> na1_c
enzyme_NAt_rev	234000.0	NAt	na1_e <-- na1_c
enzyme_NH4t_fwd	234000.0	NH4t	nh4_c --> nh4_e
enzyme_NH4t_rev	234000.0	NH4t	nh4_c <-- nh4_e
enzyme_NTDAMP_fwd	234000.0	NTDAMP	amp_c + h2o_c --> adn_c + pi_c
enzyme_NTDAMP_rev	234000.0	NTDAMP	amp_c + h2o_c <-- adn_c + pi_c
enzyme_NTDIMP_fwd	234000.0	NTDIMP	h2o_c + imp_c --> ins_c + pi_c
enzyme_NTDIMP_rev	234000.0	NTDIMP	h2o_c + imp_c <-- ins_c + pi_c
enzyme_NTPA_fwd	234000.0	NTPA	atp_c + h2o_c --> adp_c + h_c + pi_c
enzyme_NTPA_rev	234000.0	NTPA	atp_c + h2o_c <-- adp_c + h_c + pi_c
enzyme_NaKt_fwd	234000.0	NaKt	atp_c + h2o_c + 2.0 k_e + 3.0 na1_c --> adp_c + h_c + 2.0 k_c + 3.0 na1_e + pi_c
enzyme_NaKt_rev	234000.0	NaKt	atp_c + h2o_c + 2.0 k_e + 3.0 na1_c <-- adp_c + h_c + 2.0 k_c + 3.0 na1_e + pi_c
enzyme_O2t_fwd	234000.0	O2t	o2_c --> o2_e
enzyme_O2t_rev	234000.0	O2t	o2_c <-- o2_e
enzyme_OXYHBAOX_fwd	234000.0	OXYHBAOX	oxyhb_c --> methb_c + o2s_c
enzyme_OXYHBAOX_rev	234000.0	OXYHBAOX	oxyhb_c <-- methb_c + o2s_c
enzyme_PFK_fwd	234000.0	PFK	atp_c + f6p_c --> adp_c + fdp_c + h_c
enzyme_PFK_rev	234000.0	PFK	atp_c + f6p_c <-- adp_c + fdp_c + h_c
enzyme_PGI_fwd	234000.0	PGI	g6p_c --> f6p_c
enzyme_PGI_rev	234000.0	PGI	g6p_c <-- f6p_c
enzyme_PGK_fwd	234000.0	PGK	13dpg_c + adp_c --> 3pg_c + atp_c
enzyme_PGK_rev	234000.0	PGK	13dpg_c + adp_c <-- 3pg_c + atp_c
enzyme_PGL_fwd	234000.0	PGL	6pgl_c + h2o_c --> 6pgc_c + h_c
enzyme_PGL_rev	234000.0	PGL	6pgl_c + h2o_c <-- 6pgc_c + h_c
enzyme_PGM_fwd	234000.0	PGM	3pg_c --> 2pg_c
enzyme_PGM_rev	234000.0	PGM	3pg_c <-- 2pg_c
enzyme_PPA_fwd	234000.0	PPA	h2o_c + ppi_c --> h_c + 2.0 pi_c
enzyme_PPA_rev	234000.0	PPA	h2o_c + ppi_c <-- h_c + 2.0 pi_c
enzyme_PPM_fwd	234000.0	PPM	r1p_c --> r5p_c
enzyme_PPM_rev	234000.0	PPM	r1p_c <-- r5p_c
enzyme_PRPPS_fwd	234000.0	PRPPS	atp_c + r5p_c --> amp_c + h_c + prpp_c
enzyme_PRPPS_rev	234000.0	PRPPS	atp_c + r5p_c <-- amp_c + h_c + prpp_c
enzyme_PUNP5_fwd	234000.0	PUNP5	ins_c + pi_c --> hxan_c + r1p_c
enzyme_PUNP5_rev	234000.0	PUNP5	ins_c + pi_c <-- hxan_c + r1p_c
enzyme_PYK_fwd	234000.0	PYK	adp_c + h_c + pep_c --> atp_c + pyr_c
enzyme_PYK_rev	234000.0	PYK	adp_c + h_c + pep_c <-- atp_c + pyr_c
enzyme_PYRt2_fwd	234000.0	PYRt2	h_c + pyr_c --> h_e + pyr_e
enzyme_PYRt2_rev	234000.0	PYRt2	h_c + pyr_c <-- h_e + pyr_e
enzyme_RPE_fwd	234000.0	RPE	ru5p__D_c --> xu5p__D_c
enzyme_RPE_rev	234000.0	RPE	ru5p__D_c <-- xu5p__D_c
enzyme_RPI_fwd	234000.0	RPI	ru5p__D_c --> r5p_c
enzyme_RPI_rev	234000.0	RPI	ru5p__D_c <-- r5p_c
enzyme_SPODM_fwd	234000.0	SPODM	2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c
enzyme_SPODM_rev	234000.0	SPODM	2.0 h_c + 2.0 o2s_c <-- h2o2_c + o2_c
enzyme_TALA_fwd	234000.0	TALA	g3p_c + s7p_c --> e4p_c + f6p_c
enzyme_TALA_rev	234000.0	TALA	g3p_c + s7p_c <-- e4p_c + f6p_c
enzyme_TKT1_fwd	234000.0	TKT1	r5p_c + xu5p__D_c --> g3p_c + s7p_c
enzyme_TKT1_rev	234000.0	TKT1	r5p_c + xu5p__D_c <-- g3p_c + s7p_c
enzyme_TKT2_fwd	234000.0	TKT2	e4p_c + xu5p__D_c --> f6p_c + g3p_c
enzyme_TKT2_rev	234000.0	TKT2	e4p_c + xu5p__D_c <-- f6p_c + g3p_c
enzyme_TPI_fwd	234000.0	TPI	dhap_c --> g3p_c
enzyme_TPI_rev	234000.0	TPI	dhap_c <-- g3p_c
